Year,WorldwideBox Office,DomesticBox Office,InternationalBox Office,category,name,winner,nomination count,Nomination ID,Movie ID
2002,306770545.0,170687518.0,136083027.0,ACTRESS IN A SUPPORTING ROLE,Catherine Zeta-Jones,True,13,1006,208
2002,306770545.0,170687518.0,136083027.0,ART DIRECTION,Art Direction:  John Myhre; Set Decoration:  Gordon Sim,True,13,1007,208
2002,306770545.0,170687518.0,136083027.0,CINEMATOGRAPHY,Dion Beebe,False,13,1008,208
2002,306770545.0,170687518.0,136083027.0,COSTUME DESIGN,Colleen Atwood,True,13,1009,208
2002,306770545.0,170687518.0,136083027.0,DIRECTING,Rob Marshall,False,13,1010,208
2002,306770545.0,170687518.0,136083027.0,FILM EDITING,Martin Walsh,True,13,1011,208
2002,306770545.0,170687518.0,136083027.0,MUSIC (Original Song),Music by John Kander; Lyric by Fred Ebb,False,13,1012,208
2002,306770545.0,170687518.0,136083027.0,BEST PICTURE,"Martin Richards, Producer",True,13,1013,208
2002,306770545.0,170687518.0,136083027.0,SOUND,"Michael Minkler, Dominick Tavella, David Lee",True,13,1014,208
2002,306770545.0,170687518.0,136083027.0,WRITING (Adapted Screenplay),Screenplay by Bill Condon,False,13,1015,208
2009,305705794.0,255959475.0,49746319.0,ACTRESS IN A LEADING ROLE,Sandra Bullock,True,2,1016,209
2009,305705794.0,255959475.0,49746319.0,BEST PICTURE,"Gil Netter, Andrew A. Kosove and Broderick Johnson, Producers",False,2,1017,209
2018,304868961.0,68420120.0,236448841.0,SHORT SUBJECT (Live Action),"Shirley Clarke, Willard Van Dyke and Irving Jacoby, Producers",False,1,1021,210
1998,303500000.0,120620254.0,182879746.0,MUSIC (Original Musical or Comedy Score),Music by Matthew Wilder; Lyrics by David Zippel; Orchestral Score by Jerry Goldsmith,False,1,1024,211
2016,302239672.0,100014699.0,202224973.0,MUSIC (Original Score),Thomas Newman,False,2,1027,212
2016,302239672.0,100014699.0,202224973.0,PRODUCTION DESIGN,Production Design: Guy Hendrix Dyas; Set Decoration: Gene Serdena,False,2,1028,212
