Year,WorldwideBox Office,DomesticBox Office,InternationalBox Office,category,name,winner,nomination count,Nomination ID,Movie ID
2019,366614721.0,159227644.0,207387077.0,CINEMATOGRAPHY,Roger Deakins,True,10,763,157
2019,366614721.0,159227644.0,207387077.0,DIRECTING,Sam Mendes,False,10,764,157
2019,366614721.0,159227644.0,207387077.0,MAKEUP AND HAIRSTYLING,"Naomi Donne, Tristan Versluis and Rebecca Cole",False,10,765,157
2019,366614721.0,159227644.0,207387077.0,MUSIC (Original Score),Thomas Newman,False,10,766,157
2019,366614721.0,159227644.0,207387077.0,BEST PICTURE,"Sam Mendes, Pippa Harris, Jayne-Ann Tenggren and Callum McDougall, Producers",False,10,767,157
2019,366614721.0,159227644.0,207387077.0,PRODUCTION DESIGN,Production Design: Dennis Gassner; Set Decoration: Lee Sandales,False,10,768,157
2019,366614721.0,159227644.0,207387077.0,SOUND EDITING,Oliver Tarney and Rachael Tate,False,10,769,157
2019,366614721.0,159227644.0,207387077.0,SOUND MIXING,Mark Taylor and Stuart Wilson,True,10,770,157
2019,366614721.0,159227644.0,207387077.0,VISUAL EFFECTS,"Guillaume Rocheron, Greg Butler and Dominic Tuohy",True,10,771,157
2019,366614721.0,159227644.0,207387077.0,WRITING (Original Screenplay),Written by Sam Mendes & Krysty Wilson-Cairns,False,10,772,157
1994,365300000.0,146282411.0,219017589.0,VISUAL EFFECTS,"John Bruno, Thomas L. Fisher, Jacques Stroweis, Patrick McClung",False,1,776,158
1995,365270951.0,192523233.0,172747718.0,MUSIC (Original Musical or Comedy Score),Randy Newman,False,3,777,159
1995,365270951.0,192523233.0,172747718.0,MUSIC (Original Song),Music and Lyric by Randy Newman,False,3,778,159
1995,365270951.0,192523233.0,172747718.0,WRITING (Screenplay Written Directly for the Screen),"Screenplay by Joss Whedon, Andrew Stanton, Joel Cohen, Alec Sokolow;  Story by John Lasseter, Peter Docter, Andrew Stanton, Joe Ranft",False,3,779,159
1998,363095319.0,162798565.0,200296754.0,MUSIC (Original Musical or Comedy Score),Randy Newman,False,1,783,160
2001,362211740.0,180011740.0,182200000.0,COSTUME DESIGN,Morton Haack,False,2,786,161
2001,362211740.0,180011740.0,182200000.0,MUSIC (Original Score--for a motion picture [not a musical]),Jerry Goldsmith,False,2,787,161
2005,359004502.0,205343774.0,153660728.0,CINEMATOGRAPHY,Wally Pfister,False,1,793,162
2002,358824714.0,132024714.0,226800000.0,SOUND EDITING,"Richard Hymns, Gary Rydstrom",False,1,795,163
1986,357011945.0,180012912.0,176999033.0,FILM EDITING,"Billy Weber, Chris Lebenzon",False,4,798,164
1986,357011945.0,180012912.0,176999033.0,MUSIC (Original Song),Music by Giorgio Moroder; Lyric by Tom Whitlock,True,4,799,164
1986,357011945.0,180012912.0,176999033.0,SOUND,"Donald O. Mitchell, Kevin O'Connell, Rick Kline, William B. Kaplan",False,4,800,164
1986,357011945.0,180012912.0,176999033.0,SOUND EFFECTS EDITING,"Cecelia Hall, George Watters II",False,4,801,164
1999,356258047.0,130058047.0,226200000.0,ACTOR IN A LEADING ROLE,Kevin Spacey,True,8,803,165
1999,356258047.0,130058047.0,226200000.0,ACTRESS IN A LEADING ROLE,Annette Bening,False,8,804,165
1999,356258047.0,130058047.0,226200000.0,CINEMATOGRAPHY,Conrad L. Hall,True,8,805,165
1999,356258047.0,130058047.0,226200000.0,DIRECTING,Sam Mendes,True,8,806,165
1999,356258047.0,130058047.0,226200000.0,FILM EDITING,"Tariq Anwar, Christopher Greenbury",False,8,807,165
1999,356258047.0,130058047.0,226200000.0,MUSIC (Original Score),Thomas Newman,False,8,808,165
1999,356258047.0,130058047.0,226200000.0,BEST PICTURE,"Bruce Cohen and Dan Jinks, Producers",True,8,809,165
