film_year,Movie ID,film
doctor dolittle1998,219,doctor dolittle
the green mile1999,220,the green mile
salt2010,221,salt
ferdinand2017,222,ferdinand
the departed2006,223,the departed
bridesmaids2011,224,bridesmaids
coming to america1988,225,coming to america
the sound of music1965,226,the sound of music
speed1994,227,speed
saturday night fever1977,228,saturday night fever
shakespeare in love1998,229,shakespeare in love
bridget jones's diary2001,230,bridget jones's diary
beverly hills cop ii1987,231,beverly hills cop ii
the silence of the lambs1991,232,the silence of the lambs
the nutty professor1996,233,the nutty professor
jerry maguire1996,234,jerry maguire
lincoln2012,235,lincoln
the princess and the frog2009,236,the princess and the frog
the firm1993,237,the firm
the godfather1972,238,the godfather
bambi1942,239,bambi
american gangster2007,240,american gangster
batman returns1992,241,batman returns
something's gotta give2003,242,something's gotta give
waterworld1995,243,waterworld
the truman show1998,244,the truman show
the fifth element1997,245,the fifth element
real steel2011,246,real steel
total recall1990,247,total recall
the full monty1997,248,the full monty
the lone ranger2013,249,the lone ranger
blade runner 20492017,250,blade runner 2049
out of africa1985,251,out of africa
american hustle2013,252,american hustle
erin brockovich2000,253,erin brockovich
